Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Learning Git and GitHub,"<div><a href=""https://www.linkedin.com/newsletters/6674822532509655040?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Ray's LinkedIn Newsletter</a></div><br>Version Control lets you manage changes you've made to files over time, and is an essential skill for developers to master. Git is by far the most popular version control system on the web. In this fast-paced course, Ray Villalobos shows you the fundamental commands that you need to work with most Git projects. He explains how to use checkpoints called commits, which let you leave messages documenting what happened at each checkpoint, as well as how to create branches that are alternate versions of your project that you can work on without changing the original. Plus, he shows how to work with the popular GitHub website to explore existing projects, clone them to your local hard drive, and use them as templates for your new projects.",Course,2022-02-13 17:12 UTC,N/A,false,N/A,
Exam Prep: Microsoft Azure Fundamentals (AZ-900),"More from LinkedIn Learning's top experts<br><div><a href=""https://www.linkedin.com/newsletters/6883489512022913025?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">Cloud Computing Newsletter</a></div><br>Experience with Microsoft Azure—one of the most prominent cloud platforms—is a highly sought-after skill for aspiring cloud administrators. The Microsoft Azure Fundamentals (AZ-900) exam is an ideal way to jump into Azure training at the ground level. In this course, Sharon Bennett covers the logistics of the AZ-900 exam: who it's for, what objectives exam takers should focus on, and which resources can be used to prepare. She then covers the concepts and skills included in the exam. Strengthen your grasp of general cloud concepts, explore core Azure services, and review key options and resources to enhance your ability to effectively plan and manage Azure costs.",Course,2022-09-15 07:34 UTC,N/A,false,N/A,
Nano Tips for Using Excel with Miss Excel (2021),"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.<br><br>Here, join Miss Excel (aka Kat Norton)—a Microsoft MVP with 750,000+ followers on TikTok—as she shares tips and answers to common questions about Microsoft Excel, all set to a beat. Topics include fixing data in Excel (PivotTable), the filter function in Excel (VLOOKUP), VBA basics in Excel, and more. Each high-energy video offers up quick fixes for things you need to know right now about Excel and also prepares you for more in-depth learning.",Course,2022-04-01 19:42 UTC,N/A,false,N/A,
Raspberry Pi: GPIO,"The Raspberry Pi talks to the outside world through the general-purpose input/output device, known as the GPIO. In this course, instructor Mark Niemann-Ross describes these pins and explains how to use the GPIO to control lights and motors, read data from sensors, and interact with the Internet of Things. It combines some hardware basics—such as identifying pins—with some programming in a variety of different languages, including Python, Scratch C++, Java, and Wolfram. By learning how to control input and output through GPIO pins, you'll open up a whole new world of electronics.",Course,2021-08-25 14:01 UTC,N/A,false,N/A,
JavaScript: Maps and Sets,"Programming languages are always evolving and changing, and JavaScript is no exception. Over time, JavaScript has grown, and many new aspects have been added, including maps and sets. JavaScript maps and sets may sound simple, but they aren't quite the same as their counterparts in other programming languages. In this course, software engineer Jamie Pittman covers the ins and outs of JavaScript maps and sets, their syntax, how they work, and how to integrate them into your daily coding practice. Topics covered include a general overview of these features, when and where to use them, their WeakMap and WeakSet versions, and the various methods and properties associated with them.",Course,2022-07-02 05:19 UTC,N/A,false,N/A,
Using Python for Automation,"In any organization, there are tasks that would benefit from automation, but often the processes are too niche for standard software. Python is an easy-to-learn programming language that allows organizations to script custom automation and reap the time-savings. In this course, you can learn how to automate your own repetitive tasks using Python. This course provides a “cookbook” for developers and non-developers alike, allowing you to automate almost anything: from filling out PDFs and launching programs, to sending emails and voicemails, working with calendars, and organizing files and folders. Discover how to use Python and open-source libraries and tools such as Beautiful Soup and Selenium to craft elegant solutions that do the grunt work for you.<br><br>

This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this content in our library.<br><br><img src=""http://files3.lynda.com/files/course_description_images/MadeCraft-Description-Logo.jpg"" height=""25%"" width=""25%"">",Course,2021-09-07 16:35 UTC,N/A,false,N/A,
Learning Python (2020),"Python—the popular and highly readable object-oriented language—is both powerful and relatively easy to learn. Whether you're new to programming or an experienced developer, this course can help you get started with Python. Joe Marini provides an overview of the installation process, basic Python syntax, and an example of how to construct and run a simple Python program. Learn to work with dates and times, read and write files, and retrieve and parse HTML, JSON, and XML data from the web.",Course,2021-08-17 12:51 UTC,N/A,false,N/A,
Vue.js: The Documentary,"Vue.js began as a side project of a Google developer, and now shares the JS leaderboard with React and Angular. In this documentary from Honeypot Originals, Vue.js creator Evan You tells the story of how he fought against the odds to bring the open source JavaScript framework to life. Check out Evan’s story, told with the help of Sarah Drasner, Taylor Otwell, Thorsten Lünborg, and many others from the Vue.js community.

<br><br>Note: This course was created by Honeypot. We are pleased to host this training in our library.",Course,2022-07-18 17:16 UTC,N/A,false,N/A,
Job Search Nano Tips with Jonathan Javier,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.<br><br>In this installment of the series, get interview and networking hacks designed to connect you to your dream job. Job search expert Jonathan Javier shows you things you should know and do, like optimizing your LinkedIn profile, the importance of sending follow-up messages, how to showcase your qualifications and show that you’re a great candidate, questions you can expect in your interview and questions you should ask, why you should write a thank-you note after an interview, and even how to leverage your past minimum wage jobs to get your dream job. Each video is just under a minute long, so you can make learning fit into even your busiest days.",Course,2022-04-23 05:34 UTC,N/A,false,N/A,
Rhino: Modeling for 3D Printing,"Rhino is a powerful digital modeling tool for architects, engineers, and product designers. The surface modeling freedom Rhino allows can create complex designs that are not always the best for physical fabrication. To prepare a model for 3D printing, you need to create closed clean geometry. In this course, instructor Olivia Morgan covers good modeling techniques from start to finish, for 3D printing projects and other physical fabrication methods. She also offers tips you can use if anything goes wrong during the modeling process. These skills include boolean troubleshooting, repairing holes, and fixing “bad objects.” Finally, Olivia covers how to properly export your model for different 3D printers, using real world examples.",Course,2021-12-02 17:28 UTC,N/A,false,N/A,
Blender 2.91 Essential Training,"Blender is a powerful open-source solution for 2D and 3D modeling, animation, compositing, and post-production. In this course, get a thorough overview of the feature set in Blender 2.91 and beyond, as well as practical production techniques that combine know-how with a healthy dose of how-to. Instructor David Andrade dives into specific techniques, such as scene layout and modeling, sculpting, texturing and shading, 2D and 3D animation, character rigging, dynamic simulations, rendering, and game engine exporting. Plus, get performance-boosting tricks to get Blender to render your creations even faster. Each lesson helps you gain the control and skill you need to create professional artwork for multiple platforms: games, movies, and animation.",Course,2021-12-22 12:14 UTC,N/A,false,N/A,
WordPress 5 Essential Training,"<div><a href=""https://www.linkedin.com/newsletters/6780173704283475968?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Morten's LinkedIn Newsletter</a></div><br>WordPress powers millions of blogs and websites. Available in 180 languages, WordPress can be hosted on any server, accessed in any browser, and built into almost anything you imagine: blog, portfolio, website, or online store.  Learn how to create your own web experiences with this powerful and open-source publishing platform. Instructor Morten Rand-Hendriksen helps you get the most out of WordPress and create feature-rich blogs and websites. Morten explains how to create and publish posts and pages; create and edit blocks; and define reusable content blocks to take full advantage of the new block editor codenamed ""Gutenberg.""<br><br>

Note: This course covers WordPress 5. The training will be updated as WordPress evolves.",Course,2021-09-01 14:44 UTC,N/A,false,N/A,
SQL Essential Training,"Knowing how to code and manage relational databases and database-driven applications is a valuable skill for any career in tech. Completely updated for 2019, <i>SQL Essential Training</i> is designed to help users understand the most common language for database wrangling, SQL. All the lessons have been recorded in SQLiteStudio, an intuitive and easy-to-install database manager. Instructor Bill Weinman teaches all the major features of SQL: creating tables; defining relationships; manipulating strings, numbers, and dates; using triggers to automate actions; and using subselects and views. He offers a solid working knowledge of the language and shows how to retrieve and manage data efficiently. The final chapter includes a real-world example of building a simple application using SQL.<br><br>

This course was created by Bill Weinman. We are pleased to offer this training in our library.",Course,2021-09-11 06:01 UTC,N/A,false,N/A,
Introduction to SAP BI/BW,"Get a learner-friendly introduction to the Business Intelligence (BI) and Business Warehouse (BW) tools in SAP. This extensive overview course is valuable to all who want to understand what is required to develop within the BI and BW solutions. Learn what makes up the systems, the objects used, and how it all works together to form a cohesive solution that makes it such a great tool. Discover how to pull and organize data from sources, map data into InfoObjects, modify data, combine data from multiple sources, and store your data in memory with SAP HANA.<br><br>This course was created by Michael Management. We are pleased to offer this training in our library.",Course,2022-08-10 11:26 UTC,N/A,false,N/A,
Excel Data Visualization: Mastering 20+ Charts and Graphs,"When you think data visualization, you might not think Microsoft Excel. But Excel offers a large number of charts and graphing tools that complement its data analysis toolset. This course offers a laser-focused, practical guide to over 20 useful Excel charts and graphs for data visualization. Instructor Chris Dutton reviews the key principles of data visualization, and provides some introductory tips to help you customize any kind of chart in Excel. In this section, you can learn how to adjust text and cell formatting, change the chart type and axes, and leverage built-in templates. In chapter three, Chris reviews the different chart types: from basic bar and pie charts, to scatter plots, histograms, funnel charts, and sparklines. Plus, learn how to create geospatial heat maps and 3D power maps, and combine different chart types on one sheet.",Course,2021-09-27 17:31 UTC,N/A,false,N/A,
